trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'e': 0.25844621963553543, 'a': 0.7}",25,12,20.436897578222286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'e': 0.25421663556049157, 'a': 0.7}",20,14,-20.887158250969698,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
166,False,"{'e': 0.2500312648296569, 'a': 0.7}",20,6,11.96009840438053,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'e': 0.24589020970700595, 'a': 0.7}",25,0,27.111005026958267,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'e': 0.24179355758336962, 'a': 0.7}",30,20,13.139381535679359,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'e': 0.2377413811880929, 'a': 0.7}",30,12,17.18881204142742,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'e': 0.23373373880444634, 'a': 0.7}",20,10,-18.992923026079097,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
171,False,"{'e': 0.22977067448860056, 'a': 0.7}",20,8,24.594470134584654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'e': 0.22585221829197352, 'a': 0.7}",20,16,6.957789434264889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'e': 0.22197838648676183, 'a': 0.7}",20,10,6.2139138348700795,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'e': 0.21814918179446746, 'a': 0.7}",30,14,-43.018715085117805,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
175,False,"{'e': 0.2143645936172333, 'a': 0.7}",20,0,-7.169056622271246,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
176,False,"{'e': 0.21062459827180158, 'a': 0.7}",20,11,0.9322911164028314,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'e': 0.20692915922591054, 'a': 0.7}",20,8,22.996650094915033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'e': 0.20327822733694714, 'a': 0.7}",25,9,26.9819790678247,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'e': 0.1996717410926736, 'a': 0.7}",30,16,16.347315632857104,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'e': 0.19610962685384897, 'a': 0.7}",25,8,27.493338162569767,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'e': 0.19259179909856763, 'a': 0.7}",20,12,14.58048017424755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'e': 0.1891181606681392, 'a': 0.7}",25,10,-37.48524809987578,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
